feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en,page_numbers
A-1,Количество подъемов гласных,listed,A-1-2,Три,,,
A-2,Подъемы гласных,listed,A-2-3,"Верхний, средний и нижний",,,
A-3,Противопоставление по открытости/закрытости в подъемах гласных,not_applicable,,,,,
A-4,Ряды гласных,listed,A-4-3,"Передний, средний (смешанный) и задний",,,
A-5,Наличие фонологических ступеней долготы,listed,A-5-2,Отсутствуют,,,
A-6,Фонологические ступени долготы,not_applicable,,,,,
A-7,Наличие противопоставления гласных по лабиализации,listed,A-7-1,Присутствует,,,
A-8,Противопоставление гласных по лабиализации,listed,A-8-2,В среднем ряду,,,
A-9,Наличие противопоставления гласных по назализации,listed,A-9-1,Присутствует,,,
A-10,Противопоставление гласных по назализации,listed,A-10-7,"В переднем, среднем и заднем рядах / во всех рядах",,,
A-11,Противопоставление гласных по фарингализации,listed,A-11-1,Противопоставление гласных по фарингализации отсутствует,,,
A-12,Противопоставление гласных по продвинутости корня языка,listed,A-12-1,Противопоставление гласных по продвинутости корня языка отсутствует,,,
A-13,Наличие дифтонгов и трифтонгов,listed,A-13-2,Только дифтонги,,,
A-14,Типы дифтонгов,not_stated,,,,,
A-15,Инвентарь шумных согласных по ларингальным признакам,listed,A-15-6,Противопоставления по звонкости/глухости и по аспирации,,,
A-16,Типы шумных согласных по способу артикуляции,listed,A-16-3,"Взрывные, фрикативные и аффрикаты",,,
A-17,Типы шумных согласных по месту образования,listed,A-17-2,"Губные, переднеязычные, палатальные, велярные/увулярные и ларингальные",,,
A-18,Типы шумных губных согласных по месту образования,listed,A-18-1,Только губно-губные,,,
A-19,Шумные переднеязычные согласные по месту образования,listed,A-19-18,"Альвеолярные, ретрофлексные и альвео-палатальные",,,
A-20,Типы шумных велярных и увулярных согласных по месту образования,listed,A-20-1,Велярные,,,
A-21,Типы шумных ларингальных согласных по месту образования,listed,A-21-2,Только глоттальные,,,
A-22,Дополнительные артикуляционные противопоставления шумных согласных,listed,A-22-1,Отсутствуют,,,
A-23,Инвентарь сонорных согласных по способу артикуляции,listed,A-23-6,"Назальные, плавные, вибранты и глайды",,,
A-24,Инвентарь сонорных согласных по месту образования,listed,A-24-17,"Лабиальные, переднеязычные, среднеязычные и заднеязычные",,,
A-25,Дополнительные противопоставления сонорных согласных,listed,A-25-1,Отсутствуют,,,
A-26,Инвентарь фрикативных согласных по месту образования,not_applicable,,,,,
B-1,Тип ударения,listed,B-1-2,Фонологическое,,,
B-2,Вид ударения,listed,B-2-1,Динамическое,,,
B-3,Носитель ударения,listed,B-3-1,Слог,,,
B-4,Фиксированность ударения,listed,B-4-3,Разноместно фиксированное,,,
B-5,Носитель фиксированного ударения в слове,listed,B-5-14,Пенультима или антепенультима,,,
B-6,Типы связанного ударения,not_stated,,,,,
B-7,Тип ударения при формообразовании (словоизменении),not_stated,,,,,
B-8,Тип строго фиксированного ударения (по положению в слове),not_stated,,,,,
B-9,Количество уровней тонов,listed,B-9-4,Тоны отсутствуют,,,
B-10,Виды тонем,not_stated,,,,,
B-11,Контурные признаки тона,not_applicable,,,,,
B-12,"Типы уровневого (регистрового, ровного) тона",not_stated,,,,,
B-13,Носитель тона,not_applicable,,,,,
B-14,Характер долготы,listed,B-14-3,Ритмическая,Долгота зависит от позиции в слове,Length depends on a position within a word,
B-15,Область гармонического уподобления гласных,listed,B-15-9,Гармоническое уподобление гласных отсутствует,,,
B-16,Признак гармонического уподобления гласных,not_applicable,,,,,
B-17,Уподобляющий элемент при гармоническом уподоблении гласных,not_applicable,,,,,
B-18,Прочие супрасегментные явления,not_stated,,,,,
B-19,Типы фонации,not_stated,,,,,
C-1,Начальный согласный в слоге,listed,C-1-5,Есть прикрытые и неприкрытые слоги,,,
C-2,Конечный согласный в слоге,listed,C-2-5,Есть закрытые и открытые слоги,,,
D-1,Ограничения на фонемную структуру сегментных морфем в начальной позиции,listed,D-1-6,Запрет на любые стечения согласных,Кластеры встречаются в речи образованных носителей,Clusters are present in the language of educated speakers,
D-2,Ограничения на фонемную структуру сегментных морфем в конечной позиции,listed,D-2-7,Запрет на любые стечения согласных,,,
D-3,Особенности слогового состава слова,not_stated,,,,,
D-4,Различия между знаменательными и служебными словами,listed,D-4-3,Акцентные различия,,,
D-5,Различия между исконными и заимствованными словами,listed,D-5-3,Акцентные различия,,,
D-6,Различия между корневыми и аффиксальными морфемами,not_stated,,,,,
D-7,Функциональный тип чередований,listed,D-7-2,Сопутствующие,,,
D-8,Вид чередований,listed,D-8-6,Вокалические и консонантные,,,
E-1,Тип языка по способу соединения морфем в слове,not_stated,,,,,
E-2,Признаки флективного строя,not_stated,,,,,
E-3,Признаки агглютинативного строя,not_stated,,,,,
E-4,Тип языка по степени спаянности морфем,not_stated,,,,,
F-1,Количество согласовательных классов,listed,F-1-1,Согласовательные классы отсутствуют,,,
F-2,Морфологические способы выражения согласовательных классов,not_applicable,,,,,
F-3,Синтаксические способы выражения согласовательных классов,not_applicable,,,,,
F-4,Другие способы выражения согласовательных классов,not_applicable,,,,,
F-5,Атрибутивное согласование по роду,not_applicable,,,,,
F-6,Согласование количественных числительных в роде,not_applicable,,,,,
F-7,Классифицирующие категории существительных,listed,F-7-4,Личность/неличность и одушевленность/неодушевленность,,,
F-8,Противопоставление по личности/неличности,listed,F-8-2,Морфологическое,,,
F-9,Способ выражения одушевленности/неодушевленности,listed,F-9-3,Синтаксический,,,
G-1,Категория числа у существительных,listed,G-1-1,Единственное и множественное,,,
G-2,Маркирование единственного числа существительных,listed,G-2-2,Немаркированное,,,
G-3,Формы вежливости в местоимениях и глаголах,listed,G-3-1,Отсутствуют,,,
G-4,Согласование по числу,listed,G-4-2,Предикативное,,,
G-5,Форма числа существительного в сочетании с числительными,listed,G-5-1,Единственное,,,
G-6,Система счисления,not_stated,,,,,
H-1,Количество падежей у имени существительного,listed,H-1-1,Один-два,"Морфологических падежей нет, указано, что падежные значения выражаются послелогами; номинатив и аккузатив обычно нулевые","Morphological cases are absent, case meanings are expressed by postpositions; nominative and accusative are usually null",
H-2,Маркирование субъекта и объекта,listed,H-2-5,Глагольное согласование и падежные аффиксы,,,
H-3,Падежное оформление именного сказуемого,not_stated,,,,,
H-4,Падежное оформление посессивного отношения в именной группе,listed,H-4-1,Генитив,,,
H-5,Другие способы оформления посессивного отношения,listed,H-5-5,Послелоги и предлоги,,,
H-6,Способ выражения пространственных отношений,listed,H-6-5,Послелоги,,,
H-7,Маркирование в посессивной конструкции,custom,,"Маркирование есть, требует уточнения",,,
H-8,Падежное оформление одушевленных и неодушевленных имен существительных,listed,H-8-2,Есть различия,,,
H-9,Наличие вторичных падежей,not_stated,,,,,
I-1,Способ выражения залоговых форм в глаголе,listed,I-1-10,Вспомогательный глагол + причастие и аффиксы,,,
I-2,Возможность наложения нескольких залоговых форм,not_stated,,,,,
I-3,Двойные залоговые формы,not_stated,,,,,
I-4,Совпадение залоговых форм,not_stated,,,,,
I-5,Грамматические формы времени,listed,I-5-1&I-5-2&I-5-3,Прошедшее&Настоящее&Будущее,,,
I-6,Выражение вида и времени,listed,I-6-1,Раздельное,,,
I-7,Способ выражения временных категорий,listed,I-7-1,Аффиксы,,,
