feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en,page_numbers
A-1,Количество подъемов гласных,listed,A-1-2,Три,,,
A-2,Подъемы гласных,listed,A-2-3,"Верхний, средний и нижний",,,
A-3,Противопоставление по открытости/закрытости в подъемах гласных,not_stated,,,,,
A-4,Ряды гласных,listed,A-4-3,"Передний, средний (смешанный) и задний",,,
A-5,Наличие фонологических ступеней долготы,listed,A-5-2,Отсутствуют,,,
A-6,Фонологические ступени долготы,not_applicable,,,,,
A-7,Наличие противопоставления гласных по лабиализации,listed,A-7-2,Отсутствует,,,
A-8,Противопоставление гласных по лабиализации,not_applicable,,,Противопоставление гласных переднего ряда верхнего подъема по лабиализации является дискуссионным.,,
A-9,Наличие противопоставления гласных по назализации,listed,A-9-2,Отсутствует,,,
A-10,Противопоставление гласных по назализации,not_applicable,,,Противопоставление назальных/неназальных гласных среднего подъема переднего и заднего рядов и самостоятельность назальных гласных являются дискуссионными.,,
A-11,Противопоставление гласных по фарингализации,listed,A-11-1,Противопоставление гласных по фарингализации отсутствует,,,
A-12,Противопоставление гласных по продвинутости корня языка,listed,A-12-1,Противопоставление гласных по продвинутости корня языка отсутствует,,,
A-13,Наличие дифтонгов и трифтонгов,listed,A-13-1,Дифтонги и трифтонги отсутствуют,Дифтонги встречаются в заимствованных словах.,,
A-14,Типы дифтонгов,not_applicable,,,,,
A-15,Инвентарь шумных согласных по ларингальным признакам,listed,A-15-1,Противопоставление по звонкости/глухости,,,
A-16,Типы шумных согласных по способу артикуляции,listed,A-16-3,"Взрывные, аффрикаты и фрикативные",,,
A-17,Типы шумных согласных по месту образования,listed,A-17-3,"Губные, переднеязычные, палатальные и велярные/увулярные",,,
A-18,Типы шумных губных согласных по месту образования,listed,A-18-2,Губно-губные и губно-зубные,,,
A-19,Шумные переднеязычные согласные по месту образования,listed,A-19-6,Дентальные и альвеолярные,,,
A-20,Типы шумных велярных и увулярных согласных по месту образования,listed,A-20-1,Велярные,,,
A-21,Типы шумных ларингальных согласных по месту образования,not_stated,,,,,
A-22,Дополнительные артикуляционные противопоставления шумных согласных,listed,A-22-3,По палатализации,,,
A-23,Инвентарь сонорных согласных по способу артикуляции,listed,A-23-6,"Назальные, плавные, вибранты и глайды",,,
A-24,Инвентарь сонорных согласных по месту образования,listed,A-24-14,"Лабиальные, переднеязычные и среднеязычные",,,
A-25,Дополнительные противопоставления сонорных согласных,listed,A-25-3,По палатализации,,,
A-26,Инвентарь фрикативных согласных по месту образования,not_stated,,,,,
B-1,Вид основной просодической единицы,not_stated,,,,,
B-2,Носитель просодической единицы,listed,B-2-1,Слог,,,
B-3,Характеристика просодической единицы по ее мотивации выбора акцентной вершины,listed,B-3-2,Нефонологическая,,,
B-4,Вид ударения (качественные характеристики),listed,B-4-1,Динамическое,,,
B-5,Фиксированность ударения,listed,B-5-2,Связанное,,,
B-6,Типы связанного ударения,not_stated,,,,,
B-7,Тип ударения при формообразовании (словоизменении),not_stated,,,,,
B-8,Тип строго фиксированного ударения (по положению в слове),not_stated,,,,,
B-9,Носители ограниченного (разноместного) ударения,listed,B-9-5,Второй слог от конца слова,В многосложных словах имеется дополнительное инициальное ударение.,,
B-10,Виды тонем,not_stated,,,,,
B-11,Количество уровневых тонов (уровней регистровых (ровных) тонов),not_stated,,,,,
B-12,"Типы уровневого (регистрового, ровного) тона",not_stated,,,,,
B-13,Количество уровней контурных тонов,not_stated,,,,,
B-14,"Типы контурных (скользящих, модулярных, модулированных) тонем",not_stated,,,,,
B-15,Характер долготы,not_stated,,,,,
B-16,Область гармонического уподобления гласных,not_stated,,,,,
B-17,Признак гармонического уподобления гласных,not_stated,,,,,
B-18,Уподобляющий элемент при гармоническом уподоблении гласных,not_stated,,,,,
B-19,Прочие супрасегментные явления,custom,,"Назализация гласных, палатализация, ассимиляция, оглушение и озвончение согласных",,,
B-20,Типы фонации,not_stated,,,,,
C-1,Начальный согласный в слоге,listed,C-1-4,Есть прикрытые и неприкрытые слоги,В начале слога возможны сочетания от одного до четырех согласных.,,
C-2,Конечный согласный в слоге,listed,C-2-4,Есть закрытые и открытые слоги,,,
C-3,Стечения согласных в слоге,not_stated,,,,,
D-1,Тип ограничений на фонемную структуру начала слова (анлауте),custom,,Отсутствуют,,,
D-2,Тип ограничений  на фонемную структуру в конце слова (ауслауте),listed,D-2-4,Ограниченный набор согласных,,,
D-3,Варианты особенностей слогового состава слова,not_stated,,,,,
D-4,Типы различий между знаменательными и служебными словами,listed,D-4-1,Различия в фонетическом составе,,,
D-5,Различия между исконными и заимствованными словами,listed,D-5-1,Различия в фонетическом составе,,,
D-6,Различия между корневыми и аффиксальными морфемами,listed,D-6-5,Различия в фонетическом составе и акцентные различия,,,
D-7,Функциональный тип чередований,listed,D-7-4,Сопутствующие и смыслоразличительные,,,
D-8,Вид чередований,listed,D-8-8,"Вокалические, консонантные и смешанные",,,
E-1,Тип языка по способу соединения морфем в слове,listed,E-1-3,Флективный,,,
E-2,Признаки флективного строя,listed,E-2-7,Фонетически необусловленные изменения в основе и кумулятивность аффиксов,,,
E-3,Признаки агглютинативного строя,not_stated,,,,,
E-4,Тип языка по степени спаянности морфем,listed,E-4-6,Синтетический с элементами аналитизма,,,
F-1,Количество согласовательных классов,custom,,Пять,,,
F-2,Морфологические способы выражения согласовательных классов,listed,F-2-9,Флексии в имени и глаголе,,,
F-3,Синтаксические способы выражения согласовательных классов,listed,F-3-17,"В прилагательном, числительном, местоимении, глаголе и причастии",,,
F-4,Другие способы выражения согласовательных классов,not_stated,,,,,
F-5,Атрибутивное согласование по роду,listed,F-5-2,В единственном и множественном числе,,,
F-6,Согласование количественных числительных в роде,listed,F-6-4,"Для числительных ""один"" и ""два""",,,
F-7,Классифицирующие категории существительных,listed,F-7-4,Личность/неличность и одушевленность/неодушевленность,,,
F-8,Противопоставление по личности/неличности,listed,F-8-7,"Лексическое, морфологическое и синтаксическое",,,
F-9,Способ выражения одушевленности/неодушевленности,listed,F-9-5,Морфологический и синтаксический,,,
G-1,Категория числа у существительных,listed,G-1-1,Единственное и множественное,,,
G-2,Маркирование единственного числа существительных,listed,G-2-2,Немаркированное,,,
G-3,Формы вежливости в местоимениях и глаголах,listed,G-3-2,Нейтральная и вежливая,,,
G-4,Согласование по числу,listed,G-4-4,Предикативное и атрибутивное,,,
G-5,Форма числа существительного в сочетании с числительными,listed,G-5-3,Единственное и множественное,,,
G-6,Система счисления,listed,G-6-1,Десятичная,,,
H-1,Количество падежей у имени существительного,listed,H-1-2,Три-семь,,,
H-2,Маркирование субъекта и объекта,listed,H-2-11,"Объектная форма местоимений, служебные слова, падежные аффиксы и глагольное согласование",,,
H-3,Падежное оформление именного сказуемого,custom,,"Именительный, родительный или творительный падеж",,,
H-4,Падежное оформление посессивного отношения в именной группе,listed,H-4-6,Генитив или датив,,,
H-5,Другие способы оформления посессивного отношения,listed,H-5-14,"Соположение, притяжательное местоимение, притяжательные прилагательные и притяжательные аффиксы",,,
H-6,Способ выражения пространственных отношений,listed,H-6-46,"Пространственные падежи, местоимения, наречия и предлоги",,,
H-7,Маркирование в посессивной конструкции,custom,,"Маркирование есть, требует уточнения",,,
