feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en,page_numbers
A-1,Количество подъемов гласных,listed,A-1-3,Четыре,,,
A-2,Подъемы гласных,listed,A-2-5,"Верхний, верхне-средний, нижне-средний и нижний",,,
A-3,Противопоставление по открытости/закрытости в подъемах гласных,not_stated,,,,,
A-4,Ряды гласных,listed,A-4-3,"Передний, средний (смешанный) и задний",,,
A-5,Наличие фонологических ступеней долготы,listed,A-5-2,Отсутствуют,,,
A-6,Фонологические ступени долготы,not_applicable,,,,,
A-7,Наличие противопоставления гласных по лабиализации,listed,A-7-2,Отсутствует,,,
A-8,Противопоставление гласных по лабиализации,not_applicable,,,,,
A-9,Наличие противопоставления гласных по назализации,listed,A-9-1,Присутствует,,,
A-10,Противопоставление гласных по назализации,listed,A-10-7,"В переднем, среднем и заднем рядах / во всех рядах",,,
A-11,Противопоставление гласных по фарингализации,listed,A-11-1,Противопоставление гласных по фарингализации отсутствует,,,
A-12,Противопоставление гласных по продвинутости корня языка,listed,A-12-1,Противопоставление гласных по продвинутости корня языка отсутствует,,,
A-13,Наличие дифтонгов и трифтонгов,custom,,нет данных,,,
A-14,Типы дифтонгов,custom,,нет данных,,,
A-15,Инвентарь шумных согласных по ларингальным признакам,listed,A-15-1,Противопоставление по звонкости/глухости,,,
A-16,Типы шумных согласных по способу артикуляции,listed,A-16-1,Взрывные и фрикативные,,,
A-17,Типы шумных согласных по месту образования,listed,A-17-2,"Губные, переднеязычные, палатальные, велярные/увулярные и ларингальные",,,
A-18,Типы шумных губных согласных по месту образования,listed,A-18-1,Только губно-губные,,,
A-19,Шумные переднеязычные согласные по месту образования,listed,A-19-1,Дентальные,,,
A-20,Типы шумных велярных и увулярных согласных по месту образования,listed,A-20-1,Велярные,,,
A-21,Типы шумных ларингальных согласных по месту образования,listed,A-21-2,Только глоттальные,,,
A-22,Дополнительные артикуляционные противопоставления шумных согласных,listed,A-22-2,По лабиализации,,,
A-23,Инвентарь сонорных согласных по способу артикуляции,listed,A-23-6,"Назальные, плавные, вибранты и глайды",,,
A-24,Инвентарь сонорных согласных по месту образования,listed,A-24-17,"Лабиальные, переднеязычные, среднеязычные и заднеязычные",,,
A-25,Дополнительные противопоставления сонорных согласных,listed,A-25-1,Отсутствуют,,,
A-26,Инвентарь фрикативных согласных по месту образования,not_stated,,,,,
B-1,Тип ударения,listed,B-1-1,Ударение отсутствует,,,
B-2,Вид ударения,not_stated,,,,,
B-3,Носитель ударения,not_applicable,,,,,
B-4,Фиксированность ударения,not_applicable,,,,,
B-5,Носитель фиксированного ударения в слове,not_applicable,,,,,
B-6,Типы связанного ударения,not_stated,,,,,
B-7,Тип ударения при формообразовании (словоизменении),not_stated,,,,,
B-8,Тип строго фиксированного ударения (по положению в слове),not_stated,,,,,
B-9,Количество уровней тонов,listed,B-9-2,Три,,,
B-10,Контурные признаки тона,not_stated,,,,,
B-11,Носитель тона,listed,B-11-1,Слог,,,
