feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en,page_numbers
A-1,Количество подъемов гласных,listed,A-1-2,Три,,,421
A-2,Подъемы гласных,not_stated,,,,,
A-3,Противопоставление по открытости/закрытости в подъемах гласных,not_stated,,,,,
A-4,Ряды гласных,listed,A-4-3,"Передний, средний (смешанный) и задний",,,421
A-5,Наличие фонологических ступеней долготы,listed,A-5-1,Присутствуют,Долгота гласного может показывать грамматический класс.,,422
A-6,Фонологические ступени долготы,listed,A-6-1,Две ступени,,,422
A-7,Наличие противопоставления гласных по лабиализации,listed,A-7-2,Отсутствует,,,421
A-8,Противопоставление гласных по лабиализации,not_applicable,,,,,421
A-9,Наличие противопоставления гласных по назализации,listed,A-9-2,Отсутствует,,,421
A-10,Противопоставление гласных по назализации,not_applicable,,,,,421
A-11,Противопоставление гласных по фарингализации,not_stated,,,,,
A-12,Противопоставление гласных по продвинутости корня языка,not_stated,,,,,
A-13,Наличие дифтонгов и трифтонгов,listed,A-13-1,Дифтонги и трифтонги отсутствуют,,,421
A-14,Типы дифтонгов,not_applicable,,,,,421
A-15,Инвентарь шумных согласных по ларингальным признакам,not_stated,,,,,
A-16,Типы шумных согласных по способу артикуляции,listed,A-16-3,"Взрывные, аффрикаты и фрикативные",,,421
A-17,Типы шумных согласных по месту образования,listed,A-17-4,"Губные, переднеязычные, велярные/увулярные и ларингальные",,,421
A-18,Типы шумных губных согласных по месту образования,listed,A-18-2,Губно-губные и губно-зубные,"В статье использован термин ""губные"", но есть фонема ""в"" (губно-зубная"" и фонема ""б"" (губно-губная).",,421
A-19,Шумные переднеязычные согласные по месту образования,not_stated,,,,,
A-20,Типы шумных велярных и увулярных согласных по месту образования,listed,A-20-3,Велярные и увулярные,"В статье использован термин ""заднеязычные"" вместо ""велярные"".",,421
A-21,Типы шумных ларингальных согласных по месту образования,listed,A-21-2,Только глоттальные,"В статье использован термин ""ларингальные"", но в кавказоведческой традиции так называют глоттальные.",,421
A-22,Дополнительные артикуляционные противопоставления шумных согласных,listed,A-22-2,По лабиализации,"Для всех, кроме губных.",,420
A-23,Инвентарь сонорных согласных по способу артикуляции,not_stated,,,,,
A-24,Инвентарь сонорных согласных по месту образования,not_stated,,,,,
A-25,Дополнительные противопоставления сонорных согласных,not_stated,,,,,
A-26,Инвентарь фрикативных согласных по месту образования,not_stated,,,,,
B-1,Вид основной просодической единицы,listed,B-1-1,Ударение,,,421
B-2,Носитель просодической единицы,listed,B-2-1,Слог,,,421
B-3,Характеристика просодической единицы по ее мотивации выбора акцентной вершины,listed,B-3-2,Нефонологическая,,,421
B-4,Вид ударения (качественные характеристики),listed,B-4-1,Динамическое,,,421
B-5,Фиксированность ударения,listed,B-5-2,Связанное,,,421
B-6,Типы связанного ударения,listed,B-6-2,Ограниченное,,,421
B-7,Тип ударения при формообразовании (словоизменении),not_stated,,,,,421
B-8,Тип строго фиксированного ударения (по положению в слове),not_applicable,,,,,421
B-9,Носители ограниченного (разноместного) ударения,listed,B-9-1&B-9-2,Начальный слог&Второй слог от начала,"Многосложные слова также могут получать ""дополнительное ударение"".",,421
B-10,Виды тонем,not_applicable,,,,,421
B-11,Количество уровневых тонов (уровней регистровых (ровных) тонов),not_applicable,,,,,421
B-12,"Типы уровневого (регистрового, ровного) тона",not_applicable,,,,,421
B-13,Количество уровней контурных тонов,not_applicable,,,,,421
B-14,"Типы контурных (скользящих, модулярных, модулированных) тонем",not_applicable,,,,,421
B-15,Характер долготы,not_stated,,,,,
B-16,Область гармонического уподобления гласных,not_stated,,,,,
B-17,Признак гармонического уподобления гласных,not_stated,,,,,
B-18,Уподобляющий элемент при гармоническом уподоблении гласных,not_stated,,,,,
B-19,Прочие супрасегментные явления,not_stated,,,,,
B-20,Типы фонации,not_stated,,,,,
C-1,Начальный согласный в слоге,listed,C-1-2,Большинство слогов прикрытые,"Преобладают модели слога с согласным в начале, но слог из одного гласного тоже возможен.",,
C-2,Конечный согласный в слоге,listed,C-2-4,Есть закрытые и открытые слоги,,,
C-3,Стечения согласных в слоге,not_stated,,,"Среди самых частых моделей слога и среди примеров стечения не встречаются, но полного списка моделей слога в статье не приведено.",,
D-1,Ограничения на фонемную структуру начала слова,listed,D-1-2,Присутствуют,,,420
D-2,Тип ограничений на фонемную структуру начала слова (анлаута),listed,D-2-2&D-2-7&D-2-6&D-2-4,Разрешены только согласные&Запрет на любые стечения согласных&Запрет на любые стечения гласных&Ограниченный набор согласных,Неприкрытых слогов нет.,,370
D-3,Ограничения на фонемную структуру в конце слова,listed,D-3-2,Присутствуют,,,420
D-4,Тип ограничений  на фонемную структуру в конце слова (ауслауте),listed,D-4-5&D-4-6&D-4-4,Ограничения на последовательность (сочетания) согласных&Запрет на любые стечения гласных&Ограниченный набор согласных,Запрещены более чем двухчленные сочетания согласных.,,370
D-5,Варианты особенностей слогового состава слова,not_stated,,,,,421
D-6,Различия между знаменательными и служебными словами,listed,D-6-1,Отсутствуют,,,421
D-7,Типы различий между знаменательными и служебными словами,not_applicable,,,,,421
D-8,Различия между исконными и заимствованными словами,listed,D-8-1,Отсутствуют,,,421
D-9,Типы различий между исконными и заимствованными словами,not_applicable,,,,,421
D-10,Различия между корневыми и аффиксальными морфемами,listed,D-10-2,Присутствуют,,,421
D-11,Типы различий между корневыми и аффиксальными морфемами,custom,,Ограничения на стечения согласных.,Комплексы в корневом материале возможны только с участием сонорных.,,370
D-12,Функциональный тип чередований,not_stated,,,,,
D-13,Вид чередований,not_stated,,,,,
E-1,Тип языка по способу соединения морфем в слове,not_stated,,,,,
E-2,Признаки флективного строя,not_stated,,,,,
E-3,Признаки агглютинативного строя,not_stated,,,,,
E-4,Тип языка по степени спаянности морфем,not_stated,,,,,
F-1,Количество согласовательных классов,not_stated,,,,,
F-2,Морфологические способы выражения согласовательных классов,not_stated,,,,,
F-3,Синтаксические способы выражения согласовательных классов,not_stated,,,,,
F-4,Другие способы выражения согласовательных классов,not_stated,,,,,
F-5,Атрибутивное согласование прилагательных по роду (в зависимости от числа),listed,F-5-3,В единственном и множественном числе,"Следует говорить не о роде, но о классе, выражающемся на существительном. Классы в единственном и множественном числе отличаются. Следовательно, классный показатель передает не только класс, но и число существительного.",,422
F-6,Согласование количественных числительных в роде,not_stated,,,,,
F-7,Классифицирующие категории существительных,not_stated,,,,,
F-8,Противопоставление по личности/неличности,not_stated,,,,,
F-9,Способ выражения одушевленности/неодушевленности,not_stated,,,,,
G-1,Категория числа у существительных,listed,G-1-1,Единственное и множественное,,,422
G-2,Маркирование единственного числа существительных,listed,G-2-2,Немаркированное,,,422
G-3,Формы вежливости в местоимениях и глаголах,listed,G-3-1,Отсутствуют,,,426
G-4,Согласование по числу,listed,G-4-4,Предикативное и атрибутивное," Классы в единственном и множественном числе отличаются. Следовательно, классный показатель передает не только класс, но и число существительного.",,422
G-5,Форма числа существительного в сочетании с числительными,listed,G-5-1,Единственное,,,423
G-6,Система счисления,listed,G-6-1,Десятичная,"Система счисления не прописана эксплицитно, но все числительные после десяти -- составные.",,423
H-1,Количество падежей у имени существительного,not_stated,,,,,
H-2,Маркирование субъекта и объекта,not_stated,,,,,
H-3,Падежное оформление именного сказуемого,not_stated,,,,,
H-4,Падежное оформление посессивного отношения в именной группе,listed,H-4-1,Генитив,,,424
H-5,Другие способы оформления посессивного отношения,not_stated,,,,,
H-6,Способ выражения пространственных отношений,not_stated,,,,,
H-7,Маркирование в посессивной конструкции,not_stated,,,,,
H-8,Падежное оформление одушевленных и неодушевленных имен существительных,listed,H-8-1,Нет различий,"Выбор Э.п. зависит от того, относится ли существительное к классу людей или нет. Р.п. выражается по разному в зависимости от класса существительного. Однако деление на классы не отражает одушевленность.",,423
H-9,Наличие вторичных падежей,listed,H-9-1,Имеются,В Ц.я. Около 20 падежей.,,423
I-1,Способ выражения залоговых форм в глаголе,not_stated,,,,,
I-2,Возможность наложения нескольких залоговых форм,not_stated,,,,,
I-3,Двойные залоговые формы,not_stated,,,,,
I-4,Совпадение залоговых форм,not_stated,,,,,
I-5,Грамматические формы времени,listed,I-5-1&I-5-2,Прошедшее&Настоящее,,,424
I-6,Выражение вида и времени,not_stated,,,,,
I-7,Способ выражения временных категорий,not_stated,,,,,
I-8,Синкретическое выражение нескольких глагольных значений,not_stated,,,,,
I-9,Маркирование лица в глаголе в настоящем времени,not_stated,,,,,
I-10,Маркер переходности,not_stated,,,,,
J-1,Наличие местоименных слов,not_stated,,,,,
J-2,Способы выражения дейктических категорий,not_stated,,,,,
J-3,"Служебные части речи, выражающие пространственную ориентацию действия",not_stated,,,,,
J-4,"Знаменательные части речи, выражающие пространственную ориентацию действия",not_stated,,,,,
J-5,Морфологическое выражение определенности/неопределенности имени,not_stated,,,,,
J-6,"Части речи, выражающие определенность/неопределенность имени",not_stated,,,,,
J-7,Грамматические способы выражения вежливости,not_applicable,,,,,426
J-8,Способы выражения отрицания,not_stated,,,,,
J-9,Позиция показателя отрицания,not_stated,,,,,
K-1,Склонение личных местоимений,not_stated,,,,,
K-2,Артикли,listed,K-2-1,Артикли отсутствуют,,,426
K-3,Неопределенный артикль и числительное «один»,not_applicable,,,,,426
K-4,Расположение артикля,not_applicable,,,,,426
K-5,Постановка артикля в именной группе,not_applicable,,,,,426
K-6,"Грамматические категории, выражаемые артиклем",not_stated,,,,,
K-7,Количество типов спряжения глаголов,not_stated,,,,,
K-8,Типы глагольного согласования,not_stated,,,,,
K-9,"Согласовательные категории, выражаемые причастием",not_stated,,,,,
K-10,"Время, выражаемое причастием",not_stated,,,,,
K-11,"Грамматические категории, выражаемые наречием",not_stated,,,,,
K-12,"Согласовательные категории, выражаемые прилагательным",not_stated,,,,,
K-13,Возможность кумулятивного выражения нескольких категорий в прилагательном,not_stated,,,,,
K-14,Атрибутивное согласование прилагательных,not_stated,,,,,
K-15,Типы атрибутивного согласования,listed,K-15-2&K-15-5,По числу&По классу,"Классы в единственном и множественном числе отличаются. Следовательно, классный показатель передает не только класс, но и число существительного.",,422
K-16,"Изменяемые грамматические категории, выражаемые существительным",not_stated,,,,,
K-17,Кумулятивное выражение нескольких категорий в существительном,not_stated,,,,,
K-18,Средства словоизменения,not_stated,,,,,
K-19,Модель словоформы,not_stated,,,,,
L-1,Способы словообразования,not_stated,,,,,
L-2,"Аффиксы, участвующие в словообразовании",not_stated,,,,,
L-3,Отношения между соединяемыми основами при сложении основ,not_stated,,,,,
M-1,Стратегия кодирования глагольных актантов,not_stated,,,,,
M-2,Фиксированность порядка слов,not_stated,,,,,
M-3,Основной порядок слов в предложении,not_stated,,,,,
M-4,Порядок определения и определяемого,not_stated,,,,,
M-5,Опущение местоименного подлежащего в неэллиптических предложениях,not_stated,,,,,
N-1,Линейный порядок компонентов в сложном предложении,not_stated,,,,,
N-2,Особенности подчиненного компонента в сложном предложении,not_stated,,,,,
N-3,Оформление сказуемого в придаточном предложении,not_stated,,,,,
N-4,Тип построения сложного предложения,not_stated,,,,,
N-5,Тип связи между элементами сложного предложения,not_stated,,,,,
_aux,,not_applicable,,,Т.Г. Дедов,,
