feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en,page_numbers
A-1,Количество степеней подъема гласных,listed,A-1-3,Четыре,,,
A-2,Подъемы гласных,listed,A-2-6,"Верхний, средне-верхний, средне-нижний и нижний",,,
A-210,Противопоставление по открытости/закрытости в подъемах гласных,listed,A-210-2,В среднем,,,
A-3,Ряды гласных,listed,A-3-2,Передний и задний,,,
A-4,Фонологические ступени долготы,listed,A-4-1,Фонологические ступени долготы отсутствуют,,,
A-5,Противопоставление гласных по лабиализации,listed,A-5-1,Противопоставление гласных по лабиализации отсутствует,,,
A-6,Противопоставление гласных по назализации,listed,A-6-2,В переднем и заднем рядах,,,
A-7,Противопоставление гласных по фарингализации,listed,A-7-1,Противопоставление гласных по фарингализации отсутствует,,,
A-8,Противопоставление гласных по продвинутости корня языка,listed,A-8-1,Противопоставление гласных по продвинутости корня языка отсутствует,,,
A-9,Наличие дифтонгов и трифтонгов,listed,A-9-2,Только дифтонги,,,
A-10,Типы дифтонгов,not_stated,,,,,
A-11,Инвентарь шумных согласных по ларингальным признакам,listed,A-11-6,Противопоставления по звонкости/глухости и по аспирации,,,
A-12,Инвентарь шумных согласных по способу артикуляции,listed,A-12-1,Взрывные и фрикативные,,,
A-13,Инвентарь шумных согласных по месту образования,listed,A-13-2,"Лабиальные, переднеязычные, среднеязычные, заднеязычные и постувулярные",,,
A-14,Инвентарь шумных губных согласных по месту образования,listed,A-14-1,Только билабиальные,,,
A-15,Шумные переднеязычные согласные по месту образования,listed,A-15-3,Альвеолярные,,,
A-16,Шумные заднеязычные согласные по месту образования,listed,A-16-1,Велярные,,,
A-17,Шумные постувулярные согласные по месту образования,listed,A-17-2,Только глоттальные,,,
A-18,Дополнительные артикуляционные противопоставления шумных согласных,listed,A-18-10,По палатализации и фарингализации,,,
A-19,Инвентарь сонорных согласных по способу артикуляции,listed,A-19-6,"Назальные, плавные, вибранты и глайды",,,
A-20,Инвентарь сонорных согласных по месту образования,listed,A-20-15,"Переднеязычные, среднеязычные и заднеязычные",,,
A-21,Дополнительные противопоставления сонорных согласных,listed,A-21-1,Отсутствуют,,,
A-220,Инвентарь фрикативных согласных по месту образования,not_applicable,,,,,
B-1,Тип ударения,listed,B-1-2,Фонологическое,,,
B-2,Вид ударения,listed,B-2-1,Динамическое,,,
B-3,Носитель ударения,listed,B-3-1,Слог,,,
B-4,Фиксированность ударения,listed,B-4-1,Одноместно фиксированное,,,
B-5,Носитель фиксированного ударения в слове,listed,B-5-12,Начальный слог или пенультима,В зависимости от диалекта,Depending on a dialect,
B-6,Количество уровней тонов,listed,B-6-4,Тоны отсутствуют,,,
B-7,Контурные признаки тона,not_applicable,,,,,
B-8,Носитель тона,not_applicable,,,,,
B-9,Характер долготы,listed,B-9-6,Нефонологическая и ритмическая,,,
B-10,Область гармонического уподобления гласных,listed,B-10-9,Гармоническое уподобление гласных отсутствует,,,
B-11,Признак гармонического уподобления гласных,not_applicable,,,,,
B-12,Уподобляющий элемент при гармоническом уподоблении гласных,not_applicable,,,,,
B-13,Прочие супрасегментные явления,custom,,Палатализация и дезаспирация,,,
B-14,Типы фонации,not_stated,,,,,
C-1,Начальный согласный в слоге,listed,C-1-5,Есть прикрытые и неприкрытые слоги,,,
C-2,Конечный согласный в слоге,listed,C-2-5,Есть закрытые и открытые слоги,,,
D-1,Ограничения на фонемную структуру сегментных морфем в начальной позиции,not_stated,,,,,
D-2,Ограничения на фонемную структуру сегментных морфем в конечной позиции,not_stated,,,,,
D-3,Особенности слогового состава слова,not_stated,,,,,
D-4,Различия между знаменательными и служебными словами,not_stated,,,,,
D-5,Различия между исконными и заимствованными словами,not_stated,,,,,
D-6,Различия между корневыми и аффиксальными морфемами,listed,D-6-1,Отсутствуют,,,
D-7,Функциональный тип чередований,listed,D-7-2,Сопутствующие,,,
D-8,Вид чередований,listed,D-8-1,Вокалические,,,
E-1,Тип языка по способу соединения морфем в слове,listed,E-1-2,Агглютинативный с элементами флективного,,,
E-2,Признаки флективного строя,not_stated,,,,,
E-3,Признаки агглютинативного строя,not_stated,,,,,
E-4,Тип языка по степени спаянности морфем,not_stated,,,,,
